Source File	Size	loadResources	load-configure	scan	loadDepInfo	loadInfo	load	generateSnapshots	checkR4R4B	generateNarratives	validate	loadLists	checkConformanceResources	checkConformanceResources2	checkConformanceResources3	generateLogicalMaps	validateExpressions	scanForUsageStats	checkURLsUnique	processProvenanceDetails	generate1	generate2	generateLogicals	makeDependencies	generateExampleZip	generateValidationPack	scanProfilesForR5	scanExamplesForR5
/fsh-generated/resources/ImplementationGuide-ltsi.fhir.oncofair.json	57885	-	0	0	0	0	0	0	10	91	0	0	0	0	0	0	0	2	0	0	174	249	0	0	0	6	0	1
fsh-generated/resources/CapabilityStatement-oncofair-consumer-secondary-chemotherapy-data.json	19452	12	0	0	0	0	0	0	1	45	0	0	0	0	0	0	0	0	0	0	78	63	0	0	0	2	0	0
fsh-generated/resources/CapabilityStatement-oncofair-health-data-warehouse.json	38249	12	0	0	0	0	0	0	1	54	0	0	0	0	0	0	0	1	0	0	121	85	0	1	0	3	0	0
fsh-generated/resources/CapabilityStatement-oncofair-producer-chemotherapy-data.json	19403	8	0	0	0	0	0	0	1	27	0	0	0	0	0	0	0	0	0	0	58	43	0	0	0	2	0	0
fsh-generated/resources/CarePlan-ExampleOncoFAIRCarePlan.json	2065	12	0	0	0	0	0	0	0	192	0	0	0	0	0	0	0	0	0	0	8	16	0	0	0	0	0	0
fsh-generated/resources/CarePlan-OncoFAIRCarePlan-folfox.json	1507	4	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	8	10	0	0	0	0	0	0
fsh-generated/resources/CodeSystem-CSEventTypeData.json	868	4	0	0	0	0	0	0	0	8	0	0	0	0	0	0	0	0	0	0	10	1290	0	0	0	0	0	0
fsh-generated/resources/CodeSystem-CSMedicationItemProvenance.json	702	3	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	9	70	0	0	0	0	0	0
fsh-generated/resources/CodeSystem-CSMedicationStatus.json	978	4	1	0	0	0	0	0	0	3	0	0	0	0	0	0	0	0	0	0	9	52	0	0	0	0	0	0
fsh-generated/resources/CodeSystem-CSMedicationTypes.json	1413	4	0	0	0	0	0	0	0	3	0	0	0	0	0	0	0	0	0	0	11	50	0	0	0	1	0	0
fsh-generated/resources/CodeSystem-concept-medication-oncofair-codesystem.json	742	3	0	0	0	0	0	0	0	3	0	0	0	0	0	0	0	0	0	0	8	46	0	0	0	0	0	0
fsh-generated/resources/CodeSystem-medical-units-oncofair-codesystem.json	31300	15	0	0	0	0	0	0	3	75	0	0	1	0	0	0	0	1	0	0	104	185	0	0	0	4	0	1
fsh-generated/resources/CodeSystem-medication-lti-exemption.json	3781	5	1	0	0	0	0	0	0	6	0	0	0	0	0	0	0	0	0	0	18	51	0	0	0	1	0	0
fsh-generated/resources/CodeSystem-medications-oncofair-codesystem.json	1145	3	0	0	0	0	0	0	0	4	0	0	0	0	0	0	0	0	0	0	11	43	0	0	0	0	0	0
fsh-generated/resources/CodeSystem-siph-gonogo-oncofair-codesystem.json	739	4	0	0	0	0	0	0	0	3	0	0	0	0	0	0	0	0	0	0	10	39	0	0	0	1	0	0
