URL,Version,Status,OIDs,Name,Title,Descriptino,Used
http://ltsi.univ-rennes.fr/CodeSystem/CSCommunicationModes,0.1.0,draft,,CSCommunicationModes,Communication modes,"CodeSystem for french communication modes (Incrémental, Récapitulatif).","ValueSet/vsCommunicationModes"
http://ltsi.univ-rennes.fr/CodeSystem/CSEventTypeData,0.1.0,draft,,CSEventTypeData,Event Types,"CodeSystem for various event types used in French healthcare systems, identified by number, abbreviation, and full name.","ValueSet/VSEventTypeData"
http://ltsi.univ-rennes.fr/CodeSystem/CSLOINC,0.1.0,draft,,CSLOINC,LOINC codes,"LOINC CodeSystem.","ValueSet/vsLOINC"
http://ltsi.univ-rennes.fr/CodeSystem/CSMedicalUnits,0.1.0,draft,,CSMedicalUnits,Medical units,"CodeSystem for french medical units (accommodation, medical liability unit).","ValueSet/vsMedicalUnits"
http://ltsi.univ-rennes.fr/CodeSystem/CSMedicationItemProvenance,0.1.0,draft,,CSMedicationItemProvenance,Medication item provenance,"CodeSystem for french medication item provenance.","ValueSet/vsMedicationItemProvenance"
http://ltsi.univ-rennes.fr/CodeSystem/CSMedicationStatus,0.1.0,draft,,CSMedicationStatus,Medication status,"CodeSystem for french medication status.","ValueSet/vsMedicationStatus"
http://ltsi.univ-rennes.fr/CodeSystem/CSMedicationTypes,0.1.0,draft,,CSMedicationTypes,Medication types,"CodeSystem for french medication types.","ValueSet/vsMedicationTypes"
http://ltsi.univ-rennes.fr/CodeSystem/CSMedications,0.1.0,draft,,CSMedications,Medications,"CodeSystem for french medications.","ValueSet/vsMedications"
http://ltsi.univ-rennes.fr/CodeSystem/CSPrescriptionCategory,0.1.0,draft,,CSPrescriptionCategory,Prescription category,"CodeSystem for french prescription category (Création, Arrêt, Modification, Validation).","ValueSet/vsPrescriptionCategory"
http://ltsi.univ-rennes.fr/CodeSystem/CSSCT,0.1.0,draft,,CSSCT,SNOMED CT Codes,"SNOMED CT code system.","ValueSet/vsSCT"
http://ltsi.univ-rennes.fr/CodeSystem/medication-lti-exemption,0.1.0,draft,,CSMedicationLTIExemption,LTI Detailed Descriptions,"Detailed list of long-term illness (LTI).","ValueSet/vsMedicationLTIExemption"
