Source File	Size	loadResources	load-configure	scan	loadDepInfo	loadInfo	load	generateSnapshots	checkR4R4B	generateNarratives	validate	loadLists	checkConformanceResources	checkConformanceResources2	checkConformanceResources3	generateLogicalMaps	validateExpressions	scanForUsageStats	checkURLsUnique	processProvenanceDetails	generate1	generate2	generateLogicals	makeDependencies	generateExampleZip	generateValidationPack	scanProfilesForR5	scanExamplesForR5
/fsh-generated/resources/ImplementationGuide-ltsi.fhir.oncofair.json	49408	-	0	0	0	0	0	0	13	79	0	0	0	0	0	0	0	1	0	0	153	255	0	0	0	10	0	1
fsh-generated/resources/CapabilityStatement-oncofair-consumer-secondary-chemotherapy-data.json	20231	16	0	0	1	0	0	0	3	53	0	0	0	0	0	0	0	1	0	0	75	59	0	1	0	3	0	0
fsh-generated/resources/CapabilityStatement-oncofair-health-data-warehouse.json	26248	15	0	0	0	0	0	0	4	35	0	0	0	0	0	0	0	0	0	0	97	63	0	0	0	3	0	0
fsh-generated/resources/CapabilityStatement-oncofair-producer-chemotherapy-data.json	6632	9	0	0	0	0	0	0	1	10	0	0	0	0	0	0	0	0	0	0	37	21	0	0	0	1	0	0
fsh-generated/resources/CarePlan-ExampleOncoFAIRCarePlan.json	2065	7	0	0	0	0	0	0	0	185	0	0	0	0	0	0	0	0	0	0	8	10	0	0	0	0	0	0
fsh-generated/resources/CodeSystem-CSEventTypeData.json	868	3	0	0	0	0	0	0	1	9	0	0	0	0	0	0	0	0	0	0	9	1225	0	0	0	0	0	0
fsh-generated/resources/CodeSystem-CSMedicationItemProvenance.json	702	2	0	0	0	0	0	0	0	4	0	0	0	0	0	0	0	0	0	0	8	63	0	0	0	0	0	0
fsh-generated/resources/CodeSystem-CSMedicationStatus.json	978	2	0	0	0	0	0	0	0	4	0	0	0	0	0	0	0	0	0	0	10	60	0	0	0	0	0	0
fsh-generated/resources/CodeSystem-CSMedicationTypes.json	1413	2	1	0	0	0	0	0	1	4	0	0	0	0	0	0	0	0	0	0	10	57	0	0	0	1	0	0
fsh-generated/resources/CodeSystem-concept-medication-oncofair-codesystem.json	742	2	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	8	46	0	0	0	0	0	0
fsh-generated/resources/CodeSystem-medical-units-oncofair-codesystem.json	31300	12	0	0	0	0	0	0	9	86	0	0	0	0	0	0	0	1	0	0	104	198	0	0	0	5	0	0
fsh-generated/resources/CodeSystem-medication-lti-exemption.json	3781	5	0	0	0	0	0	0	1	7	0	0	0	0	0	0	0	0	0	0	18	50	0	0	0	1	0	1
fsh-generated/resources/CodeSystem-medications-oncofair-codesystem.json	1145	3	0	0	0	0	0	0	0	3	0	0	0	0	0	0	0	0	0	0	11	43	0	0	0	0	0	0
fsh-generated/resources/CodeSystem-siph-gonogo-oncofair-codesystem.json	739	2	0	0	0	0	0	0	0	4	0	0	0	0	0	0	0	0	0	0	12	41	0	0	0	0	0	0
fsh-generated/resources/CodeSystem-siph-listeald-oncofair-codesystem.json	3936	2	0	0	0	0	0	0	0	6	0	0	0	0	0	0	0	0	0	0	18	38	0	0	0	1	0	0
fsh-generated/resources/CodeSystem-siph-natureproppharm-oncofair-codesystem.json	740	3	0	0	0	0	0	0	1	3	0	0	0	0	0	0	0	0	0	0	12	27	0	0	0	0	0	0
fsh-generated/resources/CodeSystem-siph-paramposoconditionnelle-oncofair-codesystem.json	1109	2	1	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	11	31	0	0	0	0	0	0
fsh-generated/resources/CodeSystem-siph-renscomplement-oncofair-codesystem.json	1239	2	0	0	0	0	0	0	0	3	0	0	0	0	0	0	0	0	0	0	15	32	0	0	0	0	0	0
fsh-generated/resources/CodeSystem-siph-statutcomposantadm-oncofair-codesystem.json	1088	3	0	0	0	0	0	0	0	3	0	0	0	0	0	0	0	0	0	0	13	33	0	0	0	0	0	0
fsh-generated/resources/CodeSystem-siph-statutvalidpharm-oncofair-codesystem.json	610	2	0	0	0	0	0	0	0	3	0	0	0	0	0	0	0	0	0	0	11	29	0	0	0	0	0	0
