Source File	Size	loadResources	load-configure	scan	loadDepInfo	loadInfo	load	generateSnapshots	checkR4R4B	generateNarratives	validate	loadLists	checkConformanceResources	checkConformanceResources2	checkConformanceResources3	generateLogicalMaps	validateExpressions	scanForUsageStats	checkURLsUnique	processProvenanceDetails	generate1	generate2	generateLogicals	makeDependencies	generateExampleZip	generateValidationPack	scanProfilesForR5	scanExamplesForR5
/fsh-generated/resources/ImplementationGuide-ltsi.fhir.oncofair.json	9626	-	0	0	0	0	0	0	3	39	0	0	0	0	0	0	0	1	0	0	97	146	0	0	0	2	0	1
fsh-generated/resources/CodeSystem-CSCommunicationModes.json	542	14	0	0	1	0	0	0	0	8	0	0	0	0	0	0	0	0	0	1	17	1197	0	0	0	1	0	0
fsh-generated/resources/CodeSystem-CSLOINC.json	701	9	0	0	0	0	0	0	0	6	0	0	0	0	0	0	0	0	0	0	15	60	0	0	0	0	0	0
fsh-generated/resources/CodeSystem-CSMedicalUnits.json	31246	20	1	0	0	0	0	0	3	43	0	0	2	0	0	0	0	1	0	0	267	261	0	0	0	7	0	2
fsh-generated/resources/CodeSystem-CSMedicationTypes.json	1412	12	0	0	0	0	0	0	1	6	0	0	0	0	0	0	0	0	0	0	23	40	0	0	0	1	0	0
fsh-generated/resources/CodeSystem-CSMedications.json	1093	14	0	0	0	0	0	0	0	6	0	0	0	0	0	0	0	0	0	0	18	37	0	0	0	0	0	0
fsh-generated/resources/CodeSystem-CSPrescriptionCategory.json	692	11	0	0	0	0	0	0	0	5	0	0	0	0	0	0	0	0	0	0	29	34	0	0	0	0	0	0
fsh-generated/resources/CodeSystem-CSSCT.json	1912	9	0	0	0	0	0	0	0	5	0	0	0	0	0	0	0	0	0	0	21	35	0	0	0	1	0	0
fsh-generated/resources/StructureDefinition-oncofair-careplan.json	4218	20	0	0	0	0	0	49	0	41	0	0	1	0	0	0	0	1	0	0	350	2095	0	0	0	5	0	2
fsh-generated/resources/StructureDefinition-oncofair-cp-Pharmacist.json	3287	10	0	0	0	0	0	11	0	11	0	0	0	0	0	0	0	0	0	0	108	277	0	0	0	2	0	1
fsh-generated/resources/StructureDefinition-oncofair-cp-treatment.json	4180	13	0	0	0	0	0	10	0	13	0	0	0	0	0	0	0	1	0	0	137	239	0	0	0	3	0	1
fsh-generated/resources/StructureDefinition-oncofair-encounter.json	1214	11	0	0	0	0	0	60	0	18	0	0	0	0	0	0	0	0	0	0	316	722	0	0	0	8	0	3
fsh-generated/resources/StructureDefinition-oncofair-medication.json	608	10	0	0	0	0	0	25	0	13	0	0	0	0	0	0	0	1	0	0	165	257	0	0	0	3	0	0
fsh-generated/resources/StructureDefinition-oncofair-medicationadministration-component.json	1673	8	0	0	0	0	0	58	0	25	0	0	1	0	0	0	0	0	0	0	229	440	0	0	0	4	1	1
fsh-generated/resources/StructureDefinition-oncofair-medicationadministration-element.json	1432	9	1	0	0	0	0	16	0	23	0	0	0	0	0	0	0	1	0	0	195	342	0	0	0	3	0	1
fsh-generated/resources/StructureDefinition-oncofair-medicationadministration-report.json	1298	9	0	0	0	0	0	13	0	12	0	0	0	0	0	0	0	1	0	0	217	319	0	0	1	4	0	0
fsh-generated/resources/StructureDefinition-oncofair-medicationrequest-prescription.json	6628	6	0	0	0	0	0	85	0	23	0	0	0	0	0	0	0	2	0	0	461	604	0	0	0	9	0	1
fsh-generated/resources/StructureDefinition-oncofair-mr-element-form.json	1410	5	0	0	0	0	0	11	0	5	0	0	0	0	0	0	0	0	0	0	51	93	0	0	0	1	0	0
fsh-generated/resources/StructureDefinition-oncofair-mr-element-gonogo.json	3269	5	0	0	0	0	0	15	0	9	0	0	0	0	0	0	0	0	0	0	103	141	0	0	0	2	0	0
fsh-generated/resources/StructureDefinition-oncofair-mr-element-rank.json	1402	5	0	0	0	0	0	8	0	5	0	0	0	0	0	0	0	0	0	0	45	89	0	0	0	1	0	0
fsh-generated/resources/StructureDefinition-oncofair-mr-element-supply.json	1410	4	0	0	0	0	0	7	0	4	0	0	0	0	0	0	0	0	0	0	46	99	0	0	0	1	0	0
