URL,Version,Status,OIDs,Name,Title,Descriptino,Used
http://ltsi.univ-rennes.fr/CodeSystem/concept-medication-oncofair-codesystem,0.1.0,draft,,ConceptMedicationOncoFAIRCodeSystem,Concepts Medication Code System,"Code system pour différiencier les niveaux de MR/MA","ValueSet/concept-medication-oncofair-valueset"
http://ltsi.univ-rennes.fr/CodeSystem/medical-units-oncofair-codesystem,0.1.0,draft,,MedicalUnitsOncoFAIRCodeSystem,Medical units,"CodeSystem for french medical units (accommodation, medical liability unit).","ValueSet/medical-units-oncofair-valueset"
http://ltsi.univ-rennes.fr/CodeSystem/medications-oncofair-codesystem,0.1.0,draft,,MedicationsOncoFAIRCodeSystem,Medications,"CodeSystem for french medications.","ValueSet/medications-oncofair-valueset"
http://ltsi.univ-rennes.fr/CodeSystem/siph-gonogo-oncofair-codesystem,0.1.0,draft,,SIPhgoNogoOncoFAIRCodeSystem,goNogo Code System,"Code system pour l'attribut goNogo","ValueSet/siph-gonogo-oncofair-valueset"
http://ltsi.univ-rennes.fr/CodeSystem/siph-listeald-oncofair-codesystem,0.1.0,draft,,SIPhListeALDOncoFAIRCodeSystem,Liste ALD Code System,"Code system pour l'attribut ListeALD","ValueSet/siph-listeald-oncofair-valueset"
http://ltsi.univ-rennes.fr/CodeSystem/siph-natureproppharm-oncofair-codesystem,0.1.0,draft,,SIPhNaturePropPharmOncoFAIRCodeSystem,Nature proposition pharmaceutique Code System,"Code system pour l'attribut NaturePropPharm","ValueSet/siph-natureproppharm-oncofair-valueset"
http://ltsi.univ-rennes.fr/CodeSystem/siph-paramposoconditionnelle-oncofair-codesystem,0.1.0,draft,,SIPhParamPosoConditionnelleOncoFAIRCodeSystem,Paremètres posologie conditionnelle Code System,"Code system pour l'attribut ParamPosoConditionnelle","ValueSet/siph-paramposoconditionnelle-oncofair-valueset"
http://ltsi.univ-rennes.fr/CodeSystem/siph-renscomplement-oncofair-codesystem,0.1.0,draft,,SIPhRensComplementOncoFAIRCodeSystem,Renseignement complémentaire Code System,"Code system pour l'attribut RensComplement","ValueSet/siph-renscomplement-oncofair-valueset"
http://ltsi.univ-rennes.fr/CodeSystem/siph-statutcomposantadm-oncofair-codesystem,0.1.0,draft,,SIPhStatutComposantAdmOncoFAIRCodeSystem,Statut composant administré Code System,"Code system pour l'attribut StatutComposantAdm","ValueSet/siph-statutcomposantadm-oncofair-valueset"
http://ltsi.univ-rennes.fr/CodeSystem/siph-statutvalidpharm-oncofair-codesystem,0.1.0,draft,,SIPhStatutValidPharmOncoFAIRCodeSystem,Statut validation pharmaceutique Code System,"Code system pour l'attribut StatutValidPharm","ValueSet/siph-statutvalidpharm-oncofair-valueset"
http://ltsi.univ-rennes.fr/CodeSystem/siph-type-liaison-oncofair-codesystem,0.1.0,draft,,SIPhTypeLiaisonOncoFAIRCodeSystem,Type de liaison Code System,"Code system pour l'attribut TypeLiaison","ValueSet/siph-type-liasion-oncofair-valueset"
http://ltsi.univ-rennes.fr/CodeSystem/siph-typecomposant-oncofair-codesystem,0.1.0,draft,,SIPhTypeComposantOncoFAIRCodeSystem,Type de composant Code System,"Code system pour l'attribut TypeComposant","ValueSet/siph-typecomposant-oncofair-valueset"
http://ltsi.univ-rennes.fr/CodeSystem/siph-typeeltpla-oncofair-codesystem,0.1.0,draft,,SIPhTypeEltPLAOncoFAIRCodeSystem,Type de l'élément d'administration Code System,"Code system pour l'attribut TypeEltPLA","ValueSet/siph-typeeltpla-oncofair-valueset"
http://ltsi.univ-rennes.fr/CodeSystem/siph-typeevenement-oncofair-codesystem,0.1.0,draft,,SIPhTypeEvenementOncoFAIRCodeSystem,Type évènement Code System,"Code system pour l'attribut TypeEvenement","ValueSet/siph-typeevenement-oncofair-valueset"
http://terminology.hl7.org/CodeSystem/icd-o-3,2.0.1,active,"2.16.840.1.113883.6.43.1",IcdO3,International Classification of Diseases for Oncology, version 3.,"International Classification of Diseases for Oncology, version 3. For more information see http://www.who.int/classifications/icd/adaptations/oncology/en/.","ValueSet/Topography,ValueSet/Morphology"
http://terminology.hl7.org/CodeSystem/umls,2.0.1,retired,"2.16.840.1.113883.6.86",Umls,Unified Medical Language System,"UMLS codes as CUIs making up the values in a coding system. More information may be found at http://www.nlm.nih.gov/research/umls/","ValueSet/TumorPathologyEventType,ValueSet/TreatmentType,ValueSet/Laterality"
